date,close,volume,open,high,low,Source
12/20/2019,$228.93,"3,716,158",$230.96,$231.29,$228.62,NASDAQ
12/19/2019,$229.94,"2,420,063",$230.95,$231.39,$228.96,NASDAQ
12/18/2019,$230.45,"2,280,912",$231.97,$232.195,$229.94,NASDAQ
12/17/2019,$231.15,"3,590,439",$230.00,$232.07,$228.80,NASDAQ
12/16/2019,$228.04,"3,219,426",$228.50,$230.70,$227.87,NASDAQ
12/13/2019,$225.00,"1,908,510",$226.72,$227.99,$223.7023,NASDAQ
12/12/2019,$226.05,"2,975,577",$221.91,$226.7762,$220.60,NASDAQ
12/11/2019,$221.19,"1,778,596",$222.25,$222.85,$220.84,NASDAQ
12/10/2019,$221.88,"1,854,483",$221.67,$222.88,$220.55,NASDAQ
12/09/2019,$221.81,"2,149,451",$224.61,$224.65,$221.77,NASDAQ
12/06/2019,$224.61,"4,229,733",$219.95,$225.40,$218.815,NASDAQ
12/05/2019,$217.14,"1,329,572",$217.15,$217.63,$215.4185,NASDAQ
12/04/2019,$215.94,"1,583,647",$213.54,$216.99,$212.38,NASDAQ
12/03/2019,$212.24,"3,279,762",$215.43,$215.43,$210.00,NASDAQ
12/02/2019,$217.64,"2,119,133",$220.97,$221.80,$217.08,NASDAQ
11/29/2019,$221.35,"770,438",$220.88,$222.00,$220.41,NASDAQ
11/27/2019,$222.95,"1,615,085",$223.45,$224.28,$221.86,NASDAQ
11/26/2019,$222.45,"1,926,961",$222.68,$222.76,$221.113,NASDAQ
11/25/2019,$222.75,"2,181,836",$220.89,$223.95,$220.89,NASDAQ
11/22/2019,$220.28,"1,529,121",$218.00,$220.71,$218.00,NASDAQ
11/21/2019,$218.23,"1,677,745",$218.60,$219.32,$216.82,NASDAQ
11/20/2019,$217.91,"2,177,738",$218.36,$219.4709,$216.40,NASDAQ
